127.0.0.1 - - [21/Jan/2022:15:38:48 +0900] "GET / HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:38:49 +0900] "GET / HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:38:52 +0900] "GET /Guest/guest_list.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:38:52 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:38:52 +0900] "GET /Guest/img/write.gif HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:38:52 +0900] "GET /Guest/stylesheet.css HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:38:52 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:39:24 +0900] "GET /Guest/ HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:34 +0900] "GET /Guest/guest_list.jsp HTTP/1.1" 200 4131
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:34 +0900] "GET /Guest/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:34 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:34 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:34 +0900] "GET /Guest/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:37 +0900] "POST /Guest/guest_list.jsp HTTP/1.1" 200 4131
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:37 +0900] "GET /Guest/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:37 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:37 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:37 +0900] "GET /Guest/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:59 +0900] "POST /Guest/guest_list.jsp HTTP/1.1" 200 4131
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:59 +0900] "GET /Guest/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:15:44:59 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
